department,salary,mean_work_last_3_months,number_projects,satisfaction_level,last_evaluation,time_in_company,work_accident,left
sales,low,278.3333333333333,2.0,40.0,49.0,3.0,0.0,1.0
accounting,low,283.3333333333333,2.0,41.0,46.0,3.0,0.0,1.0
accounting,low,281.0,2.0,38.0,50.0,3.0,0.0,1.0
accounting,low,259.3333333333333,6.0,9.0,62.0,4.0,0.0,1.0
hr,low,284.6666666666667,2.0,45.0,57.0,3.0,0.0,1.0
hr,low,289.3333333333333,2.0,40.0,51.0,3.0,0.0,1.0
hr,low,280.6666666666667,2.0,45.0,55.0,3.0,0.0,1.0
hr,low,261.6666666666667,4.0,84.0,87.0,6.0,0.0,1.0
technical,low,299.3333333333333,6.0,10.0,94.0,4.0,0.0,1.0
technical,low,276.0,2.0,38.0,46.0,3.0,0.0,1.0
technical,low,270.0,2.0,45.0,50.0,3.0,0.0,1.0
technical,low,279.0,6.0,11.0,89.0,4.0,0.0,1.0
technical,low,273.6666666666667,2.0,41.0,54.0,3.0,0.0,1.0
technical,low,288.0,5.0,87.0,88.0,5.0,0.0,1.0
technical,low,277.3333333333333,2.0,45.0,48.0,3.0,0.0,1.0
technical,low,269.3333333333333,2.0,40.0,46.0,3.0,0.0,1.0
technical,low,264.0,7.0,10.0,80.0,4.0,0.0,1.0
technical,low,282.6666666666667,6.0,9.0,89.0,4.0,0.0,1.0
technical,low,265.6666666666667,3.0,84.0,74.0,4.0,0.0,1.0
support,low,294.0,2.0,40.0,55.0,3.0,0.0,1.0
support,low,281.0,3.0,57.0,70.0,6.0,0.0,1.0
support,low,286.0,2.0,40.0,54.0,3.0,0.0,1.0
support,low,252.3333333333333,2.0,43.0,47.0,3.0,0.0,1.0
support,low,270.6666666666667,6.0,13.0,78.0,2.0,0.0,1.0
support,low,276.3333333333333,2.0,44.0,55.0,3.0,0.0,1.0
support,low,276.6666666666667,2.0,38.0,55.0,3.0,0.0,1.0
support,low,265.6666666666667,2.0,39.0,54.0,3.0,0.0,1.0
support,low,277.6666666666667,7.0,10.0,92.0,4.0,0.0,1.0
support,low,277.0,2.0,37.0,46.0,3.0,0.0,1.0
support,low,271.6666666666667,7.0,11.0,94.0,4.0,0.0,1.0
technical,low,265.3333333333333,6.0,10.0,81.0,4.0,0.0,1.0
technical,low,262.0,2.0,38.0,54.0,3.0,0.0,1.0
technical,low,289.0,4.0,85.0,100.0,5.0,0.0,1.0
management,medium,260.6666666666667,5.0,85.0,91.0,5.0,0.0,1.0
IT,medium,275.6666666666667,7.0,11.0,93.0,4.0,0.0,1.0
IT,medium,263.6666666666667,6.0,10.0,95.0,5.0,0.0,1.0
IT,medium,283.6666666666667,2.0,36.0,56.0,3.0,0.0,1.0
IT,medium,265.6666666666667,6.0,11.0,94.0,4.0,0.0,1.0
IT,medium,263.6666666666667,6.0,81.0,70.0,4.0,0.0,1.0
product_mng,medium,268.3333333333333,2.0,43.0,54.0,3.0,0.0,1.0
product_mng,medium,303.3333333333333,4.0,90.0,98.0,6.0,0.0,1.0
product_mng,medium,289.3333333333333,5.0,76.0,86.0,5.0,1.0,1.0
product_mng,medium,254.3333333333333,2.0,43.0,50.0,3.0,0.0,1.0
IT,medium,266.6666666666667,2.0,74.0,99.0,3.0,0.0,1.0
product_mng,medium,287.3333333333333,5.0,9.0,77.0,4.0,0.0,1.0
product_mng,high,271.6666666666667,2.0,45.0,49.0,3.0,0.0,1.0
product_mng,low,281.3333333333333,7.0,9.0,87.0,4.0,0.0,1.0
product_mng,medium,283.6666666666667,6.0,11.0,97.0,4.0,0.0,1.0
product_mng,medium,284.6666666666667,7.0,11.0,79.0,4.0,0.0,1.0
product_mng,medium,275.0,6.0,10.0,83.0,4.0,0.0,1.0
marketing,medium,269.6666666666667,2.0,40.0,54.0,3.0,0.0,1.0
sales,low,288.0,2.0,43.0,56.0,3.0,0.0,1.0
accounting,low,268.3333333333333,2.0,39.0,56.0,3.0,0.0,1.0
support,low,275.3333333333333,2.0,45.0,54.0,3.0,0.0,1.0
technical,low,264.3333333333333,2.0,38.0,49.0,3.0,0.0,1.0
management,low,277.6666666666667,4.0,79.0,59.0,3.0,0.0,1.0
marketing,low,284.0,4.0,84.0,85.0,6.0,0.0,1.0
marketing,low,258.3333333333333,6.0,11.0,77.0,4.0,0.0,1.0
marketing,low,276.3333333333333,6.0,11.0,87.0,4.0,0.0,1.0
sales,low,274.0,5.0,17.0,84.0,3.0,0.0,1.0
sales,low,284.0,2.0,44.0,45.0,3.0,0.0,1.0
sales,low,281.0,2.0,37.0,57.0,3.0,0.0,1.0
sales,low,279.3333333333333,6.0,10.0,79.0,4.0,0.0,1.0
sales,low,273.0,2.0,40.0,50.0,3.0,0.0,1.0
sales,low,268.6666666666667,5.0,89.0,100.0,5.0,0.0,1.0
sales,low,294.3333333333333,2.0,42.0,48.0,3.0,0.0,1.0
sales,low,295.6666666666667,2.0,46.0,55.0,3.0,0.0,1.0
sales,low,274.6666666666667,6.0,9.0,83.0,4.0,0.0,1.0
sales,low,272.0,2.0,37.0,51.0,3.0,0.0,1.0
sales,low,300.0,6.0,10.0,77.0,4.0,0.0,1.0
sales,low,259.3333333333333,6.0,10.0,84.0,4.0,0.0,1.0
sales,low,274.6666666666667,6.0,11.0,97.0,4.0,0.0,1.0
sales,medium,272.6666666666667,5.0,90.0,100.0,6.0,0.0,1.0
sales,medium,279.6666666666667,2.0,38.0,52.0,3.0,0.0,1.0
sales,medium,276.3333333333333,2.0,36.0,52.0,3.0,0.0,1.0
sales,medium,286.3333333333333,2.0,42.0,46.0,3.0,0.0,1.0
sales,medium,265.0,7.0,9.0,94.0,4.0,0.0,1.0
sales,medium,269.3333333333333,2.0,43.0,52.0,3.0,0.0,1.0
accounting,medium,266.3333333333333,7.0,24.0,46.0,5.0,0.0,1.0
accounting,medium,258.3333333333333,4.0,91.0,100.0,5.0,0.0,1.0
accounting,medium,276.0,2.0,44.0,50.0,3.0,0.0,1.0
hr,medium,295.3333333333333,3.0,71.0,87.0,4.0,0.0,1.0
hr,medium,266.0,2.0,40.0,49.0,3.0,0.0,1.0
hr,medium,271.0,2.0,43.0,47.0,3.0,0.0,1.0
hr,high,279.6666666666667,6.0,9.0,85.0,4.0,0.0,1.0
technical,low,260.3333333333333,2.0,43.0,52.0,3.0,0.0,1.0
technical,medium,273.3333333333333,4.0,90.0,96.0,5.0,0.0,1.0
technical,medium,286.6666666666667,5.0,84.0,100.0,5.0,0.0,1.0
technical,medium,268.0,2.0,37.0,48.0,3.0,0.0,1.0
technical,medium,280.0,5.0,86.0,68.0,2.0,0.0,1.0
technical,low,281.6666666666667,6.0,11.0,84.0,4.0,0.0,1.0
technical,low,280.3333333333333,2.0,37.0,57.0,3.0,0.0,1.0
technical,low,290.3333333333333,2.0,40.0,46.0,3.0,0.0,1.0
technical,low,273.6666666666667,4.0,14.0,62.0,4.0,1.0,1.0
technical,low,271.6666666666667,2.0,40.0,46.0,3.0,0.0,1.0
technical,low,270.0,4.0,75.0,100.0,6.0,0.0,1.0
support,low,276.6666666666667,6.0,11.0,84.0,5.0,1.0,1.0
support,low,273.0,2.0,46.0,49.0,3.0,0.0,1.0
support,low,273.0,6.0,11.0,92.0,4.0,0.0,1.0
support,low,276.3333333333333,2.0,38.0,49.0,3.0,0.0,1.0
support,low,264.0,3.0,70.0,89.0,5.0,0.0,1.0
support,low,277.6666666666667,6.0,9.0,82.0,4.0,0.0,1.0
support,low,283.3333333333333,2.0,37.0,45.0,3.0,0.0,1.0
support,low,259.3333333333333,6.0,10.0,83.0,4.0,0.0,1.0
support,low,291.3333333333333,2.0,38.0,57.0,3.0,0.0,1.0
support,low,287.3333333333333,5.0,90.0,100.0,5.0,0.0,1.0
support,low,275.0,2.0,44.0,51.0,3.0,0.0,1.0
technical,low,277.0,2.0,36.0,50.0,3.0,0.0,1.0
technical,low,275.0,7.0,31.0,84.0,5.0,0.0,1.0
technical,low,271.6666666666667,6.0,10.0,84.0,4.0,1.0,1.0
management,low,280.3333333333333,2.0,42.0,48.0,3.0,0.0,1.0
IT,low,288.6666666666667,4.0,74.0,100.0,5.0,0.0,1.0
IT,low,283.0,5.0,73.0,87.0,5.0,0.0,1.0
IT,low,263.0,6.0,9.0,96.0,4.0,0.0,1.0
IT,low,280.6666666666667,2.0,45.0,53.0,3.0,0.0,1.0
IT,low,270.0,6.0,11.0,80.0,4.0,0.0,1.0
product_mng,low,279.3333333333333,2.0,37.0,47.0,3.0,0.0,1.0
product_mng,low,277.6666666666667,4.0,84.0,99.0,5.0,0.0,1.0
product_mng,low,282.0,2.0,41.0,46.0,3.0,0.0,1.0
product_mng,low,292.0,4.0,76.0,92.0,5.0,0.0,1.0
IT,low,265.0,6.0,11.0,87.0,4.0,0.0,1.0
marketing,low,265.6666666666667,4.0,84.0,88.0,5.0,1.0,1.0
marketing,low,279.6666666666667,2.0,39.0,50.0,3.0,0.0,1.0
marketing,low,270.6666666666667,6.0,11.0,91.0,4.0,0.0,1.0
marketing,low,266.0,2.0,45.0,56.0,3.0,0.0,1.0
marketing,low,279.3333333333333,2.0,37.0,52.0,3.0,0.0,1.0
marketing,low,278.3333333333333,2.0,40.0,52.0,3.0,0.0,1.0
sales,low,279.0,2.0,39.0,48.0,3.0,0.0,1.0
accounting,low,274.3333333333333,6.0,11.0,80.0,4.0,0.0,1.0
support,low,282.6666666666667,5.0,83.0,100.0,5.0,0.0,1.0
technical,low,286.3333333333333,6.0,11.0,92.0,4.0,0.0,1.0
management,low,273.0,2.0,39.0,50.0,3.0,0.0,1.0
marketing,low,268.3333333333333,2.0,45.0,45.0,3.0,0.0,1.0
marketing,low,277.0,7.0,10.0,95.0,4.0,0.0,1.0
marketing,low,284.6666666666667,5.0,90.0,98.0,6.0,0.0,1.0
sales,low,287.6666666666667,2.0,45.0,51.0,3.0,0.0,1.0
sales,low,270.6666666666667,5.0,79.0,89.0,5.0,0.0,1.0
sales,low,260.3333333333333,5.0,90.0,99.0,5.0,0.0,1.0
sales,low,272.0,7.0,11.0,84.0,4.0,0.0,1.0
sales,low,278.6666666666667,2.0,43.0,55.0,3.0,0.0,1.0
sales,low,289.6666666666667,5.0,31.0,54.0,5.0,0.0,1.0
sales,low,286.3333333333333,2.0,32.0,50.0,5.0,0.0,1.0
sales,low,259.3333333333333,2.0,45.0,57.0,3.0,0.0,1.0
sales,low,282.0,4.0,81.0,99.0,5.0,0.0,1.0
sales,low,291.3333333333333,2.0,41.0,46.0,3.0,0.0,1.0
sales,low,284.6666666666667,7.0,11.0,78.0,4.0,0.0,1.0
sales,low,286.0,6.0,10.0,88.0,4.0,0.0,1.0
sales,low,292.0,2.0,70.0,53.0,4.0,0.0,1.0
sales,low,275.6666666666667,4.0,54.0,74.0,2.0,0.0,1.0
sales,low,269.6666666666667,2.0,41.0,48.0,3.0,0.0,1.0
sales,medium,274.6666666666667,2.0,38.0,50.0,3.0,0.0,1.0
sales,medium,272.0,2.0,37.0,51.0,3.0,0.0,1.0
sales,medium,290.6666666666667,6.0,11.0,85.0,5.0,0.0,1.0
sales,medium,303.0,2.0,40.0,47.0,3.0,0.0,1.0
accounting,medium,284.0,6.0,10.0,84.0,4.0,0.0,1.0
accounting,medium,286.0,5.0,89.0,99.0,5.0,0.0,1.0
accounting,medium,284.6666666666667,6.0,11.0,80.0,4.0,0.0,1.0
hr,medium,282.0,2.0,36.0,55.0,3.0,0.0,1.0
hr,medium,288.0,2.0,40.0,46.0,3.0,0.0,1.0
hr,medium,271.6666666666667,6.0,9.0,85.0,4.0,0.0,1.0
hr,medium,278.0,2.0,40.0,46.0,3.0,0.0,1.0
technical,medium,266.3333333333333,2.0,37.0,55.0,3.0,0.0,1.0
technical,high,259.3333333333333,2.0,44.0,51.0,3.0,0.0,1.0
technical,low,269.6666666666667,7.0,9.0,80.0,5.0,0.0,1.0
technical,medium,280.0,4.0,92.0,87.0,6.0,1.0,1.0
technical,medium,259.3333333333333,4.0,74.0,91.0,5.0,0.0,1.0
technical,medium,266.3333333333333,6.0,9.0,82.0,4.0,0.0,1.0
technical,medium,283.6666666666667,4.0,89.0,95.0,5.0,0.0,1.0
technical,low,273.6666666666667,6.0,9.0,80.0,4.0,0.0,1.0
technical,low,294.3333333333333,7.0,27.0,54.0,3.0,0.0,1.0
technical,low,261.0,6.0,10.0,91.0,4.0,0.0,1.0
technical,low,284.6666666666667,7.0,10.0,89.0,4.0,0.0,1.0
support,low,261.3333333333333,5.0,77.0,94.0,6.0,0.0,1.0
support,low,262.6666666666667,5.0,90.0,82.0,5.0,0.0,1.0
support,low,262.6666666666667,2.0,39.0,50.0,3.0,0.0,1.0
support,low,265.3333333333333,5.0,76.0,100.0,5.0,0.0,1.0
support,low,280.3333333333333,6.0,10.0,93.0,4.0,0.0,1.0
support,low,280.3333333333333,5.0,87.0,90.0,6.0,0.0,1.0
support,low,277.3333333333333,2.0,38.0,50.0,3.0,0.0,1.0
support,low,285.3333333333333,5.0,77.0,99.0,5.0,0.0,1.0
support,low,281.3333333333333,4.0,78.0,87.0,5.0,0.0,1.0
support,low,277.0,2.0,44.0,50.0,3.0,0.0,1.0
support,low,275.0,2.0,38.0,52.0,3.0,0.0,1.0
technical,low,286.3333333333333,2.0,43.0,46.0,3.0,0.0,1.0
technical,low,266.3333333333333,4.0,39.0,50.0,3.0,0.0,1.0
technical,low,263.6666666666667,5.0,88.0,100.0,5.0,0.0,1.0
management,low,267.0,2.0,45.0,46.0,3.0,0.0,1.0
IT,low,268.6666666666667,2.0,40.0,53.0,3.0,0.0,1.0
IT,low,280.0,2.0,36.0,51.0,3.0,0.0,1.0
IT,low,276.3333333333333,2.0,36.0,48.0,3.0,0.0,1.0
IT,low,275.3333333333333,5.0,90.0,98.0,5.0,0.0,1.0
IT,low,275.3333333333333,2.0,43.0,53.0,3.0,0.0,1.0
product_mng,low,285.6666666666667,5.0,89.0,87.0,5.0,0.0,1.0
product_mng,low,280.0,6.0,10.0,84.0,4.0,0.0,1.0
product_mng,low,260.0,2.0,37.0,50.0,3.0,0.0,1.0
product_mng,low,263.6666666666667,2.0,37.0,51.0,3.0,0.0,1.0
IT,low,267.6666666666667,5.0,87.0,90.0,5.0,0.0,1.0
accounting,low,266.0,2.0,40.0,56.0,3.0,0.0,1.0
accounting,low,282.0,4.0,90.0,97.0,5.0,0.0,1.0
hr,low,266.3333333333333,2.0,37.0,46.0,3.0,0.0,1.0
hr,low,289.3333333333333,2.0,44.0,54.0,3.0,0.0,1.0
hr,low,281.3333333333333,5.0,85.0,95.0,5.0,0.0,1.0
marketing,low,252.66666666666663,5.0,78.0,98.0,6.0,0.0,1.0
marketing,low,282.3333333333333,2.0,42.0,47.0,3.0,0.0,1.0
sales,low,279.0,5.0,92.0,99.0,6.0,0.0,1.0
accounting,low,282.3333333333333,6.0,11.0,83.0,4.0,0.0,1.0
support,low,289.6666666666667,2.0,42.0,56.0,3.0,0.0,1.0
technical,low,275.6666666666667,4.0,48.0,57.0,4.0,0.0,1.0
management,low,274.3333333333333,4.0,83.0,85.0,5.0,0.0,1.0
marketing,low,300.0,2.0,40.0,53.0,3.0,0.0,1.0
marketing,low,279.3333333333333,2.0,43.0,45.0,3.0,0.0,1.0
marketing,low,279.6666666666667,2.0,43.0,53.0,3.0,0.0,1.0
sales,low,267.3333333333333,7.0,10.0,97.0,4.0,0.0,1.0
sales,low,280.3333333333333,7.0,10.0,87.0,4.0,0.0,1.0
sales,low,277.3333333333333,2.0,37.0,46.0,3.0,0.0,1.0
sales,low,289.3333333333333,2.0,38.0,53.0,3.0,0.0,1.0
sales,low,274.3333333333333,2.0,40.0,50.0,3.0,0.0,1.0
sales,low,292.6666666666667,5.0,89.0,86.0,5.0,0.0,1.0
sales,low,280.3333333333333,2.0,45.0,46.0,3.0,0.0,1.0
sales,low,277.0,2.0,37.0,48.0,3.0,0.0,1.0
sales,low,276.6666666666667,2.0,46.0,49.0,3.0,0.0,1.0
sales,low,284.6666666666667,4.0,87.0,91.0,5.0,0.0,1.0
sales,low,279.0,6.0,11.0,84.0,4.0,0.0,1.0
sales,low,273.3333333333333,5.0,79.0,87.0,5.0,0.0,1.0
sales,low,261.3333333333333,5.0,79.0,92.0,6.0,0.0,1.0
sales,low,271.0,7.0,19.0,59.0,3.0,0.0,1.0
sales,low,269.0,4.0,87.0,98.0,5.0,0.0,1.0
sales,low,288.0,2.0,60.0,92.0,5.0,0.0,1.0
sales,medium,263.0,2.0,44.0,45.0,3.0,0.0,1.0
sales,medium,287.0,6.0,11.0,81.0,4.0,1.0,1.0
sales,medium,285.6666666666667,2.0,42.0,54.0,3.0,0.0,1.0
accounting,medium,279.6666666666667,5.0,88.0,88.0,5.0,1.0,1.0
accounting,medium,291.0,6.0,11.0,84.0,4.0,0.0,1.0
accounting,medium,272.0,2.0,46.0,46.0,3.0,0.0,1.0
hr,medium,272.0,5.0,82.0,97.0,5.0,0.0,1.0
hr,medium,266.0,2.0,44.0,56.0,3.0,0.0,1.0
hr,medium,278.0,6.0,11.0,78.0,4.0,0.0,1.0
hr,medium,281.6666666666667,2.0,42.0,50.0,3.0,0.0,1.0
technical,medium,269.6666666666667,4.0,84.0,93.0,5.0,0.0,1.0
technical,medium,284.3333333333333,6.0,11.0,95.0,4.0,0.0,1.0
technical,high,275.3333333333333,2.0,45.0,53.0,3.0,0.0,1.0
technical,low,272.6666666666667,2.0,38.0,56.0,3.0,0.0,1.0
technical,medium,278.3333333333333,6.0,38.0,86.0,6.0,0.0,1.0
technical,medium,273.3333333333333,2.0,44.0,51.0,3.0,0.0,1.0
technical,medium,272.0,6.0,11.0,84.0,4.0,0.0,1.0
technical,medium,278.3333333333333,5.0,81.0,93.0,5.0,0.0,1.0
technical,low,262.6666666666667,6.0,9.0,96.0,4.0,0.0,1.0
technical,low,269.0,6.0,11.0,90.0,4.0,0.0,1.0
technical,low,268.3333333333333,5.0,81.0,95.0,6.0,0.0,1.0
support,low,282.0,6.0,10.0,97.0,4.0,1.0,1.0
support,low,274.0,5.0,74.0,89.0,6.0,0.0,1.0
support,low,265.6666666666667,6.0,9.0,78.0,4.0,0.0,1.0
support,low,271.6666666666667,4.0,82.0,81.0,4.0,1.0,1.0
support,low,268.0,6.0,10.0,98.0,4.0,0.0,1.0
support,low,271.6666666666667,3.0,27.0,56.0,3.0,0.0,1.0
support,low,280.6666666666667,5.0,83.0,92.0,6.0,0.0,1.0
support,low,276.0,6.0,10.0,93.0,4.0,1.0,1.0
support,low,272.3333333333333,2.0,38.0,47.0,3.0,0.0,1.0
support,low,266.3333333333333,2.0,40.0,56.0,3.0,0.0,1.0
support,low,284.0,6.0,11.0,83.0,4.0,0.0,1.0
technical,low,274.0,6.0,11.0,79.0,4.0,0.0,1.0
technical,low,258.3333333333333,5.0,82.0,91.0,5.0,0.0,1.0
technical,low,290.3333333333333,2.0,36.0,48.0,3.0,0.0,1.0
management,low,277.0,2.0,40.0,46.0,3.0,0.0,1.0
IT,low,271.3333333333333,5.0,87.0,84.0,5.0,0.0,1.0
IT,low,275.0,2.0,41.0,49.0,3.0,0.0,1.0
IT,low,280.6666666666667,6.0,11.0,91.0,4.0,1.0,1.0
IT,medium,281.3333333333333,6.0,10.0,93.0,4.0,0.0,1.0
IT,medium,272.3333333333333,2.0,38.0,51.0,3.0,0.0,1.0
product_mng,medium,269.6666666666667,2.0,39.0,55.0,3.0,0.0,1.0
product_mng,medium,286.6666666666667,2.0,40.0,52.0,3.0,0.0,1.0
product_mng,medium,263.6666666666667,2.0,45.0,48.0,3.0,0.0,1.0
product_mng,medium,284.3333333333333,5.0,74.0,84.0,5.0,0.0,1.0
IT,medium,266.3333333333333,2.0,45.0,55.0,3.0,0.0,1.0
RandD,medium,289.3333333333333,3.0,12.0,100.0,4.0,0.0,1.0
RandD,medium,279.6666666666667,7.0,10.0,77.0,5.0,0.0,1.0
RandD,medium,283.0,2.0,37.0,55.0,3.0,0.0,1.0
RandD,medium,263.3333333333333,5.0,89.0,87.0,5.0,0.0,1.0
RandD,medium,267.3333333333333,2.0,45.0,47.0,3.0,0.0,1.0
marketing,high,278.6666666666667,2.0,37.0,46.0,3.0,0.0,1.0
sales,low,258.6666666666667,5.0,11.0,81.0,4.0,0.0,1.0
accounting,medium,264.3333333333333,2.0,41.0,48.0,3.0,0.0,1.0
support,medium,269.3333333333333,6.0,10.0,94.0,4.0,0.0,1.0
technical,medium,279.6666666666667,7.0,10.0,93.0,4.0,0.0,1.0
management,medium,281.6666666666667,7.0,11.0,95.0,4.0,0.0,1.0
marketing,low,283.3333333333333,2.0,40.0,54.0,3.0,0.0,1.0
marketing,low,291.0,2.0,41.0,49.0,3.0,0.0,1.0
marketing,low,284.6666666666667,6.0,10.0,81.0,4.0,0.0,1.0
sales,low,297.6666666666667,4.0,73.0,86.0,6.0,0.0,1.0
sales,low,277.6666666666667,2.0,43.0,47.0,3.0,0.0,1.0
sales,low,295.6666666666667,2.0,37.0,46.0,3.0,0.0,1.0
sales,low,272.0,6.0,11.0,94.0,4.0,0.0,1.0
sales,low,269.0,2.0,40.0,46.0,3.0,0.0,1.0
sales,low,273.3333333333333,2.0,41.0,54.0,3.0,1.0,1.0
sales,low,267.3333333333333,5.0,82.0,84.0,5.0,0.0,1.0
sales,low,276.0,2.0,61.0,47.0,3.0,0.0,1.0
sales,low,274.3333333333333,7.0,11.0,91.0,4.0,0.0,1.0
sales,low,278.3333333333333,2.0,37.0,45.0,3.0,0.0,1.0
sales,low,288.3333333333333,2.0,41.0,52.0,3.0,0.0,1.0
sales,low,277.0,2.0,37.0,52.0,3.0,0.0,1.0
sales,low,273.6666666666667,5.0,88.0,99.0,6.0,0.0,1.0
sales,low,256.6666666666667,6.0,10.0,85.0,4.0,0.0,1.0
sales,low,295.0,2.0,44.0,48.0,3.0,0.0,1.0
sales,low,285.0,2.0,38.0,57.0,3.0,0.0,1.0
sales,low,278.0,7.0,11.0,85.0,4.0,0.0,1.0
sales,low,277.6666666666667,6.0,9.0,98.0,4.0,0.0,1.0
sales,medium,268.3333333333333,2.0,45.0,52.0,3.0,0.0,1.0
accounting,medium,278.3333333333333,6.0,10.0,81.0,4.0,0.0,1.0
accounting,medium,284.3333333333333,2.0,45.0,47.0,3.0,0.0,1.0
accounting,medium,278.3333333333333,5.0,77.0,87.0,5.0,0.0,1.0
hr,medium,274.6666666666667,2.0,44.0,51.0,3.0,0.0,1.0
hr,medium,278.3333333333333,2.0,39.0,50.0,3.0,0.0,1.0
hr,medium,276.0,6.0,10.0,91.0,4.0,0.0,1.0
hr,medium,270.0,7.0,9.0,89.0,5.0,0.0,1.0
technical,medium,273.3333333333333,2.0,37.0,47.0,3.0,0.0,1.0
technical,medium,272.0,5.0,90.0,100.0,5.0,0.0,1.0
technical,medium,281.0,2.0,41.0,56.0,3.0,0.0,1.0
technical,medium,283.6666666666667,2.0,37.0,52.0,3.0,0.0,1.0
technical,high,277.6666666666667,6.0,10.0,86.0,4.0,0.0,1.0
technical,low,286.6666666666667,4.0,81.0,100.0,5.0,0.0,1.0
technical,medium,289.3333333333333,6.0,11.0,80.0,4.0,0.0,1.0
technical,medium,272.6666666666667,7.0,11.0,84.0,4.0,0.0,1.0
technical,medium,269.3333333333333,2.0,40.0,46.0,3.0,0.0,1.0
technical,medium,274.0,6.0,9.0,80.0,5.0,0.0,1.0
technical,low,272.3333333333333,3.0,48.0,93.0,6.0,0.0,1.0
support,low,281.3333333333333,4.0,91.0,91.0,6.0,0.0,1.0
support,low,272.3333333333333,2.0,43.0,57.0,3.0,0.0,1.0
support,low,297.3333333333333,6.0,33.0,88.0,5.0,0.0,1.0
support,low,272.3333333333333,2.0,41.0,57.0,3.0,0.0,1.0
support,low,263.0,2.0,41.0,55.0,3.0,0.0,1.0
support,low,297.0,2.0,37.0,54.0,3.0,0.0,1.0
support,low,284.6666666666667,6.0,31.0,62.0,5.0,0.0,1.0
support,low,270.6666666666667,6.0,9.0,91.0,4.0,0.0,1.0
support,low,270.3333333333333,6.0,10.0,87.0,4.0,0.0,1.0
support,low,277.6666666666667,4.0,76.0,90.0,5.0,0.0,1.0
support,low,267.0,2.0,41.0,54.0,3.0,0.0,1.0
technical,low,273.6666666666667,5.0,72.0,96.0,5.0,0.0,1.0
technical,low,286.6666666666667,2.0,40.0,50.0,3.0,1.0,1.0
technical,low,274.0,4.0,91.0,87.0,5.0,0.0,1.0
management,low,281.0,6.0,10.0,83.0,4.0,0.0,1.0
IT,low,275.6666666666667,2.0,40.0,56.0,3.0,0.0,1.0
IT,low,281.0,5.0,82.0,86.0,5.0,0.0,1.0
IT,low,261.3333333333333,6.0,10.0,82.0,4.0,0.0,1.0
IT,low,262.0,2.0,37.0,45.0,3.0,0.0,1.0
IT,low,252.3333333333333,2.0,36.0,51.0,3.0,0.0,1.0
product_mng,medium,289.0,2.0,39.0,48.0,3.0,0.0,1.0
product_mng,medium,264.3333333333333,2.0,36.0,57.0,3.0,0.0,1.0
product_mng,medium,282.0,5.0,86.0,84.0,5.0,0.0,1.0
product_mng,medium,282.3333333333333,5.0,73.0,99.0,5.0,0.0,1.0
IT,medium,287.6666666666667,4.0,56.0,71.0,2.0,0.0,1.0
accounting,medium,290.0,2.0,44.0,56.0,3.0,0.0,1.0
accounting,medium,275.0,4.0,31.0,56.0,2.0,0.0,1.0
hr,medium,279.3333333333333,4.0,77.0,93.0,5.0,0.0,1.0
hr,medium,284.0,2.0,44.0,45.0,3.0,0.0,1.0
hr,medium,264.3333333333333,2.0,38.0,46.0,3.0,0.0,1.0
marketing,medium,292.6666666666667,2.0,45.0,48.0,3.0,0.0,1.0
sales,medium,277.6666666666667,2.0,38.0,51.0,3.0,0.0,1.0
accounting,high,271.6666666666667,2.0,36.0,48.0,3.0,0.0,1.0
